DELIVERY_DATE,DELIVERY_HOUR,INTERVAL,ENGY
2015/1/2,17,3,19.31
2015/1/2,17,4,22.43
2015/1/2,17,5,22.48
2015/1/2,17,6,22.61
2015/1/2,17,7,25.89
2015/1/2,17,8,26.53
2015/1/2,17,9,26.6
2015/1/2,17,10,27.38
2015/1/2,17,11,30.05
2015/1/2,17,12,30.95
2015/1/2,18,1,30.95
2015/1/2,18,2,51.08
2015/1/2,18,3,54.16
2015/1/2,18,4,57.43
2015/1/2,18,5,109.66
2015/1/2,18,6,136
2015/1/2,18,7,180.01
2015/1/2,18,8,154
2015/1/2,18,9,154
2015/1/2,18,10,154
2015/1/2,18,11,145.41
2015/1/2,18,12,112.35
2015/1/2,19,1,54.16
2015/1/2,19,2,57.34
2015/1/2,19,3,54.16
2015/1/2,19,4,54.16
2015/1/2,19,5,54.16
2015/1/2,19,6,51.24
2015/1/2,19,7,51.06
2015/1/2,19,8,51.06
2015/1/2,19,9,35.66
2015/1/2,19,10,34.07
2015/1/2,19,11,30.97
2015/1/2,19,12,30.95
2015/1/2,20,1,54.16
2015/1/2,20,2,54.16
2015/1/2,20,3,54.16
2015/1/2,20,4,54.16
2015/1/2,20,5,57.33
2015/1/2,20,6,54.16
2015/1/2,20,7,54.16
2015/1/2,20,8,54.16
2015/1/2,20,9,49.65
2015/1/2,20,10,52.57
2015/1/2,20,11,49.49
2015/1/2,20,12,49.65
2015/1/2,21,1,28.16
2015/1/2,21,2,30.05
2015/1/2,21,3,30.05
2015/1/2,21,4,30.05
2015/1/2,21,5,30.05
2015/1/2,21,6,29.92
2015/1/2,21,7,30.05
2015/1/2,21,8,29.92
2015/1/2,21,9,29.92
2015/1/2,21,10,29.92
2015/1/2,21,11,29.3
2015/1/2,21,12,29.3
2015/1/2,22,1,29.98
2015/1/2,22,2,29.92
2015/1/2,22,3,36.43
2015/1/2,22,4,30.05
2015/1/2,22,5,30.05
2015/1/2,22,6,30.05
2015/1/2,22,7,30.05
2015/1/2,22,8,29.98
2015/1/2,22,9,29.87
2015/1/2,22,10,29.97
2015/1/2,22,11,29.84
2015/1/2,22,12,29.8
2015/1/2,23,1,30.43
2015/1/2,23,2,27.36
2015/1/2,23,3,26.45
2015/1/2,23,4,31.66
2015/1/2,23,5,30.6
2015/1/2,23,6,93.44
2015/1/2,23,7,59
2015/1/2,23,8,19.19
2015/1/2,23,9,47.04
2015/1/2,23,10,47.03
2015/1/2,23,11,18.74
2015/1/2,23,12,30.11
2015/1/2,24,1,95.03
2015/1/2,24,2,40.27
2015/1/2,24,3,47.03
2015/1/2,24,4,25.24
2015/1/2,24,5,32.65
2015/1/2,24,6,30.88
2015/1/2,24,7,25.35
